Id,Name,City,State,Country,Latitude,Longitude,TotalInvoices,LastYearInvoices
"31473030-3030-3030-7931-707a32494141","Ravinia Capital, LLC","Chicago","Illinois","United States","41.88516","-87.63068","1092.50","0.00"
"43ada31f-f0c6-dd11-b032-00101826f7f4","Realogy Corporation","Madison","NJ","USA","40.84369","-74.45918","297482.12","36723.59"
"d7c625e3-7341-e311-8486-0026b9f9e50c","Reliance Home Comfort","Toronto","ON","Canada","43.77424","-79.32606","30975.07","29853.82"
"25d95313-9b8b-db11-9617-0003ff32d6e5","Resolution Media","Chicago","IL","USA","41.89585","-87.6366","56134.25","0.00"
"e9be74c6-2585-e411-b7a3-0026b9f9e50c","Retirement Systems of Alabama","Montgomery","AL","","32.37528","-86.29955","110352.69","110352.69"
"d0b77da9-073b-e211-9b2e-0026b9f9e50c","Revive Bath & Basements","Lincolnwood","IL","","42.00498","-87.73021","539722.61","2972.50"
"7be3b308-51e0-de11-a75b-00101826f7f4","Right Hear, LLC","Hewitt","TX","","31.43395","-97.19001","15000.00","0.00"
"31473030-3030-3031-5668-304d7149414a","RIM logistics, ltd.","Roselle","IL","","41.98668","-88.12341","105535.63","104725.63"
"c8e52b99-55e6-dc11-bd0d-00101826f7f4","RLI Insurance Company","Peoria","IL","USA","40.79741","-89.61115","380129.81","364278.75"
"611e80dd-062b-dc11-a113-00101826f7f4","Roadlink","Randolph","MA","","42.16572","-71.02367","84804.64","0.00"
"5fa0edf6-369b-e411-80ba-00155dfc3b0a","Ruffalo Noel Levitz","Cedar Rapids","IA","","41.91055","-91.6472","35546.75","35546.75"
"eaa6088e-7561-dc11-ab02-00101826f7f4","RUSH ENTERPRISES INC","New Braunfels","TX","","29.86843","-97.94068","64414.04","5347.50"
"1572beac-1aaa-4b42-915c-2941feb8ba20","RUSSELL REYNOLDS","","","","0","0","0.00","0.00"
"01f98466-87b5-e111-b5e5-0026b9f9e50c","Ryan Companies Us, Inc.","Minneapolis","MN","US","44.97403","-93.27481","248771.53","235266.48"
"5b22539b-cba2-e211-92f3-0026b9f9e50c","Salesforce.com","Chicago","Illinois","United States","41.89077","-87.63161","163000.00","143000.00"
"f08644d1-4b83-41b9-9fc1-131f3d8b5570","San Antonio Spurs LLC","San Antonio","TX","USA","29.43777","-98.39581","143056.49","0.00"
"d260bf15-1862-431f-948c-dcac46667d6c","SanDisk Corporation","SUNNYVALE","CA","","37.41683","-121.92266","2717953.79","765.00"
"faa6088e-7561-dc11-ab02-00101826f7f4","Security Service Federal Credit Union","SAN ANTONIO","TX","","29.59401","-98.61955","250854.88","54054.26"
"65e197fa-c931-4c11-a8ce-9e08074d8f64","Service Management Group","Kansas City","MO","","39.09196","-94.57977","3200.00","0.00"
"5df485f0-d624-dc11-a113-00101826f7f4","SetClear Inc.","New York","NY","USA","40.74463","-73.98391","305973.09","0.00"
"5a23f189-dad8-dc11-bd0d-00101826f7f4","Shelby Systems, Inc.","Cordova","TN","USA","35.17922","-89.81805","4785.00","0.00"
"94214b14-0606-db11-8305-0003ff32d6e5","Silicon Valley Bank","BEAVERCREEK","CA","USA","37.40348","-121.98038","1089443.72","0.00"
"91bb8b39-18fc-dc11-a14f-00101826f7f4","Sirius Computer Solutions Inc","San Antonio","TX","USA","29.52244","-98.50216","315683.16","0.00"
"31473030-3030-3031-6141-304e7249414b","SMBC Rail Services","","","","0","0","56991.25","56991.25"
"ab3f46c5-a73e-dc11-a113-00101826f7f4","SolerPazos Group","Coral Gables","FL","USA","25.71548","-80.27552","26176.25","0.00"
"7d3577cc-494e-4f34-86bb-803209df037f","Spraying Systems Co.","Glendale Heights","IL","United States","41.90393","-88.10133","147465.96","0.00"
"31473030-3030-3031-304d-36483349414b","Springleaf Financial","Evansville","Indiana","United States","37.97617","-87.5793","16012.10","0.00"
"b40efb27-d2b0-e111-b5e5-0026b9f9e50c","Squar Milner","Newport Beach","CA","","33.66324","-117.86523","1800.00","100.00"
"9d565842-4771-e211-92f3-0026b9f9e50c","Standard Parking","Chicago","Illinois","United States","41.89964","-87.62512","0.00","0.00"
"31473030-3030-3031-5a4b-4c4344494135","Starwood Retail","Chicago","IL","","41.88713","-87.62717","291989.82","285236.07"
"3437c473-b01a-e511-80bd-00155dfc3b0a","StoneTimberRiver LLC","Chapel Hill","NC","","35.91874","-79.0486","5250.00","5250.00"
"860661e7-17f0-e311-a635-0026b9f9e50c","Suburban Propane","Whippany","NJ","","40.83075","-74.41118","108912.30","108912.30"
"bbd6189c-7ea9-de11-8cc3-00101826f7f4","Subway World Headquarters","Milford","CT","USA","41.21593","-73.09229","36577.21","0.00"
"404fcca6-67cb-478b-a3fa-7bd58c4fc7cb","Sullivan & Cromwell","New York","NY","","40.70205","-74.01105","563229.78","554416.03"
"4962129f-bccc-e311-9df5-0026b9f9e50c","Synergis Education","Chandler","AZ","US","33.32096","-111.80959","70046.25","70046.25"
"99286b30-4771-e211-92f3-0026b9f9e50c","System Development Integration (SDI)","Chicago","IL","","41.88036","-87.62897","0.00","0.00"
"16add8b0-5e7d-df11-bb45-00101826f7f4","The City by Zondervan","Seattle","WA","","47.6326","-122.34164","10467.15","0.00"
"5dc7109b-ae16-45da-80db-91ab99a036fd","The Maschhoffs","Caryle","IL","","40.12415","-89.14863","18346.25","0.00"
"fb7dac50-da65-406d-bf8c-9b953c6479d8","Thrivent Financial For Lutherans","Minneapolis","MN","US","44.97478","-93.26608","176120.80","0.00"
"3196d71b-73f3-e111-aa06-0026b9f9e50c","TinderBox","Indianapolis","IN","","39.84881","-86.14166","42260.00","11440.00"
"a42975b8-a435-de11-b9e8-00101826f7f4","Top-Co LP","Edmonton","Alberta","Canada","53.51398","-113.37038","190025.07","0.00"
"db9e5203-377d-e311-8486-0026b9f9e50c","Toyota Industries","Columbus","IN","","39.14473","-85.95279","483479.66","428526.79"
"adf2f3d6-5b7e-db11-aa28-0003ff32d6e5","Trading Technologies","Chicago","IL","--","41.87898","-87.63855","127330.00","0.00"
